fx,fy,fz,tx,ty,tz,t
0.203778,0.00443276,0.243068,-0.00254138,0.00861494,0.00584319,180485
0.290889,-0.0269431,0.240982,-0.00116413,0.0124396,0.00582967,181712
0.401246,-0.0272586,0.229169,-0.000324237,0.0148968,0.00853559,181921
0.348192,0.0266901,0.219491,-0.00274587,0.014348,0.00797362,183357
0.211194,0.0381447,0.22336,-0.00316202,0.012592,0.00935279,184772
0.0591121,0.0165431,0.249234,-0.00221232,0.00590856,0.00935502,185661
-0.136591,0.0043201,0.253054,-0.0018461,0.0017287,0.00995215,186214
-0.189988,-0.0453611,0.257479,0.000256906,0.000391081,0.00787215,187652
-0.145075,-0.0572524,0.258097,0.000510156,0.000585563,0.00927996,189091
-0.195494,0.0297323,0.225778,-0.00331013,-0.00161875,0.00930705,189593
-0.0667651,0.0441678,0.21833,-0.0040513,0.000664442,0.00662244,190524
0.00229428,0.049743,0.206415,-0.00362106,0.0023236,0.0094473,191940
-0.0773982,0.108955,0.202739,-0.0062604,0.00114661,0.00947695,193377
-0.101544,0.0424315,0.174659,-0.00334163,9.45111e-05,0.00945965,193556
-0.244615,0.0524683,0.178213,-0.00375304,-0.00201305,0.00793632,194815
-0.432227,0.0122035,0.180984,-0.00198461,-0.00610771,0.0101881,196248
-0.340461,-0.0334647,0.206418,2.1547e-05,-0.00208643,0.0101704,197488
-0.411793,-0.062499,0.216959,0.00106174,-0.00412446,0.00927825,197673
-0.357341,-0.0585852,0.218326,0.000470241,-0.00390135,0.0083575,199105
-0.236633,-0.0665123,0.213141,0.00133787,-0.00215937,0.00713125,200579
-0.383333,-0.0672055,0.220482,0.0013687,-0.00860136,0.00713903,201419
-0.29665,-0.0496394,0.216197,0.000882947,-0.00681067,0.00870507,202010
-0.353352,0.0168354,0.224768,-0.00191874,-0.0079023,0.00874949,203414
-0.47585,-0.00719004,0.23797,-0.00109314,-0.0100562,0.00743399,204879
-0.594101,0.0565603,0.244346,-0.00389135,-0.0152491,0.00745827,205373
-0.740886,0.0267042,0.264382,-0.00230954,-0.0186976,0.00968635,206292
-0.761517,0.0148089,0.28636,-0.00198029,-0.0201452,0.00860725,207713
-0.646993,0.00868424,0.297383,-0.00182156,-0.0190853,0.00683329,209139
-0.341717,0.0524779,0.307926,-0.00374348,-0.00568699,0.00682894,209308
-0.133046,0.0656374,0.308368,-0.00450785,-0.00259657,0.00629825,210576
0.0674187,0.0645949,0.309913,-0.00367044,0.00111616,0.00737415,212031
0.00707378,0.019343,0.334391,-0.0016826,-0.00153976,0.00736477,213250
0.0861034,0.0689615,0.341337,-0.00395977,0.000422307,0.0058202,213459
0.0310771,0.0488265,0.357407,-0.00346681,-2.12486e-05,0.00597295,214886
-0.129345,-0.00559597,0.366562,-0.000506864,-0.0027712,0.00896043,216328
-0.177933,0.00655292,0.387805,-0.00103903,-0.00491011,0.00896647,217182
-0.307598,0.0561511,0.417809,-0.00389957,-0.00760757,0.00794013,217735
-0.280202,0.0220949,0.422251,-0.00254102,-0.00815474,0.00661983,219177
-0.0707066,0.00801586,0.419367,-0.00154735,-0.0051512,0.00708186,220610
-0.0273819,0.0163597,0.390092,-0.00191523,-0.0032411,0.00708184,221096
0.279521,0.0613306,0.40103,-0.00446266,0.00222948,0.00745581,222071
0.539543,0.0241676,0.393059,-0.00255886,0.00744894,0.0078663,223480
0.593844,0.00422018,0.394206,-0.00170608,0.00973582,0.00563537,224897
0.526337,-0.0527869,0.384395,0.000795926,0.00677506,0.00562308,225037
0.377296,-0.0413676,0.377098,7.87422e-05,0.00501511,0.00903791,226341
0.193004,-0.0216105,0.380808,-0.00010892,0.00246917,0.0101142,227756
0.138646,-0.145102,0.372294,0.00531172,8.53175e-05,0.0100826,228958
-0.0161698,-0.108995,0.365103,0.00313438,-0.00349064,0.00587681,229203
0.0861363,-0.170346,0.348025,0.00589323,-0.00123264,0.00647261,230641
0.254257,-0.140983,0.344097,0.00510441,0.00147622,0.00714578,232069
0.0987124,-0.0473379,0.303687,0.000991318,-0.00534069,0.00718046,232928
